object_id,museaali_number,eseme_nimi,material,material_category
521698,ERM B 218:37/ab,"suusad, jahimehe",puit,puit
521699,ERM B 218:38,tuur-kepp,metall,metall
521699,ERM B 218:38,tuur-kepp,puit,puit
521699,ERM B 218:38,tuur-kepp,,metall
521701,ERM B 220:28,kedervars,puit,puit
521702,ERM B 220:29,kedervars,puit,puit
521703,ERM B 220:30,kedervars,puit,puit
521704,ERM B 220:31,kedervars,puit,puit
521705,ERM B 220:32,kedervars,puit,puit
521706,ERM B 220:33,kedervars,puit,puit
521707,ERM B 220:34,kahvel,,metall
521707,ERM B 220:34,kahvel,,puit
521707,ERM B 220:34,kahvel,metall,metall
521707,ERM B 220:34,kahvel,puit,puit
521708,ERM B 220:35,kahvel,,metall
521708,ERM B 220:35,kahvel,,puit
521708,ERM B 220:35,kahvel,metall,metall
521708,ERM B 220:35,kahvel,puit,puit
521709,ERM B 220:36,kahvel,,metall
521709,ERM B 220:36,kahvel,,puit
521709,ERM B 220:36,kahvel,metall,metall
521709,ERM B 220:36,kahvel,puit,puit
521710,ERM B 220:37,"kuljus, lamba",metall,metall
521711,ERM B 220:38,kelluke,metall,metall
521712,ERM B 220:39,oherdi,raud,metall
521713,ERM B 220:40,"pluus, naiste",atlasriie,tekstiil
521713,ERM B 220:40,"pluus, naiste",,tekstiil
521713,ERM B 220:40,"pluus, naiste",,tekstiil
521713,ERM B 220:40,"pluus, naiste",puuvill,tekstiil
521714,ERM B 220:41,"pluus, naiste",puuvill,tekstiil
521714,ERM B 220:41,"pluus, naiste",,tekstiil
521715,ERM B 220:42,"pluus, naiste",puuvill,tekstiil
521715,ERM B 220:42,"pluus, naiste",kangas,tekstiil
521993,ERM B 219:8,"kasukas, naiste",põder,nahk
521993,ERM B 219:8,"kasukas, naiste",sulg,nahk
521993,ERM B 219:8,"kasukas, naiste",,nahk
521993,ERM B 219:8,"kasukas, naiste",,nahk
521993,ERM B 219:8,"kasukas, naiste",nahk,nahk
521994,ERM B 219:9/ab,"talvejalatsid, naiste",nahk,nahk
521994,ERM B 219:9/ab,"talvejalatsid, naiste",põhjapõder,nahk
521994,ERM B 219:9/ab,"talvejalatsid, naiste",,nahk
521994,ERM B 219:9/ab,"talvejalatsid, naiste",nahk,nahk
521995,ERM B 219:10/ab,"talvejalatsid, meeste",nahk,nahk
521995,ERM B 219:10/ab,"talvejalatsid, meeste",põhjapõder,nahk
521996,ERM B 219:11,käsitöökott,nahk,nahk
521996,ERM B 219:11,käsitöökott,põhjapõder,nahk
522002,ERM B 219:12,teki tükk,poolvillane,tekstiil
522002,ERM B 219:12,teki tükk,kuderipstehnikas,tekstiil
522002,ERM B 219:12,teki tükk,,tekstiil
522002,ERM B 219:12,teki tükk,,tekstiil
522003,ERM B 219:13,teki tükk,poolvillane,tekstiil
522003,ERM B 219:13,teki tükk,kuderipstehnikas,tekstiil
522003,ERM B 219:13,teki tükk,,tekstiil
522003,ERM B 219:13,teki tükk,,tekstiil
522051,ERM B 218:43,värten,puit,puit
522052,ERM B 218:44/ab,tohukarp,kask,puit
522053,ERM B 218:45/ab,tohukarp,kask,puit
522062,ERM B 220:43,"särk, naiste",lina,tekstiil
522064,ERM B 220:45,pearätt,siid,tekstiil
522064,ERM B 220:45,pearätt,,tekstiil
522064,ERM B 220:45,pearätt,,tekstiil
522065,ERM B 220:46,pearätt,,tekstiil
522065,ERM B 220:46,pearätt,,tekstiil
522065,ERM B 220:46,pearätt,puuvill,tekstiil
522066,ERM B 220:47,pearätt,,tekstiil
522066,ERM B 220:47,pearätt,puuvill,tekstiil
522067,ERM B 220:48,pearätt,labane kangas,tekstiil
522067,ERM B 220:48,pearätt,,tekstiil
522067,ERM B 220:48,pearätt,,tekstiil
522067,ERM B 220:48,pearätt,,tekstiil
522067,ERM B 220:48,pearätt,vill,tekstiil
522068,ERM B 220:49,rätt,,tekstiil
522068,ERM B 220:49,rätt,vill,tekstiil
522069,ERM B 220:50,laudlina,labane kangas,tekstiil
522069,ERM B 220:50,laudlina,,tekstiil
522069,ERM B 220:50,laudlina,linane,tekstiil
522069,ERM B 220:50,laudlina,lõng,tekstiil
522069,ERM B 220:50,laudlina,puuvill,tekstiil
522070,ERM B 220:51,liud,puit,puit
522071,ERM B 220:52,kapsaraud,raud,metall
522072,ERM B 220:53,"tuur, ots",raud,metall
522073,ERM B 220:54,liud,savi,keraamika
522074,ERM B 220:55,kauss,savi,keraamika
522723,ERM B 221:1,sedelgas,nahk,nahk
522723,ERM B 221:1,sedelgas,puit,puit
522723,ERM B 221:1,sedelgas,,tekstiil
522723,ERM B 221:1,sedelgas,vask,metall
523449,ERM B 226:14,ilukäterätik,linane,tekstiil
523449,ERM B 226:14,ilukäterätik,ornament,tekstiil
523449,ERM B 226:14,ilukäterätik,,tekstiil
523449,ERM B 226:14,ilukäterätik,,tekstiil
523449,ERM B 226:14,ilukäterätik,niit,tekstiil
523449,ERM B 226:14,ilukäterätik,puuvill,tekstiil
523450,ERM B 226:15,ilukäterätik,linane,tekstiil
523450,ERM B 226:15,ilukäterätik,ornament,tekstiil
523450,ERM B 226:15,ilukäterätik,puuvill,tekstiil
523451,ERM B 226:16,ilukäterätik,linane,tekstiil
523451,ERM B 226:16,ilukäterätik,ornament,tekstiil
523451,ERM B 226:16,ilukäterätik,vill,tekstiil
523452,ERM B 226:17,ilukäterätik,linane,tekstiil
523452,ERM B 226:17,ilukäterätik,ornament,tekstiil
523452,ERM B 226:17,ilukäterätik,puuvill,tekstiil
524027,ERM B 216:1,nukk,,tekstiil
524027,ERM B 216:1,nukk,,tekstiil
524027,ERM B 216:1,nukk,,tekstiil
524027,ERM B 216:1,nukk,,tekstiil
524028,ERM B 216:2,nukk,,tekstiil
524028,ERM B 216:2,nukk,,tekstiil
524028,ERM B 216:2,nukk,,tekstiil
524028,ERM B 216:2,nukk,,tekstiil
524029,ERM B 216:3,nukk,,tekstiil
524029,ERM B 216:3,nukk,,tekstiil
