object_id,material,material_category
522067,labases koes,tekstiil
522067,sinine,tekstiil
522067,hallid ruudud,tekstiil
522067,punased ja kollased peenikesed lõimejooned,tekstiil
522067,villane,tekstiil
522068,toimne riie,tekstiil
522068,villane,tekstiil
522069,labases koes,tekstiil
522069,punane ristpistes tikand,tekstiil
522069,linane,tekstiil
522069,lõng,tekstiil
522069,puuvillane,tekstiil
522070,puit,puit
522071,raud,metall
522072,raud,metall
522073,savi,keraamika
522074,savi,keraamika
522723,nahk,nahk
522723,puit,puit
522723,tekstiil,tekstiil
522723,vask,metall
523449,linane,tekstiil
523449,ornament,tekstiil
523449,punane,tekstiil
523449,roheline,tekstiil
523449,niit,tekstiil
523449,puuvillane,tekstiil
523450,linane,tekstiil
523450,ornament,tekstiil
523450,puuvillane,tekstiil
523451,linane,tekstiil
523451,ornament,tekstiil
523451,villane,tekstiil
523452,linane,tekstiil
523452,ornament,tekstiil
523452,puuvillane,tekstiil
524027,,tekstiil
524027,mitmevärvilised osad,tekstiil
524027,aplikatsioon,tekstiil
524027,tekstiil,tekstiil
524028,,tekstiil
524028,mitmevärvilised osad,tekstiil
524028,aplikatsioon,tekstiil
524028,tekstiil,tekstiil
524029,,tekstiil
524029,mitmevärvilised osad,tekstiil
524029,aplikatsioon,tekstiil
524029,tekstiil,tekstiil
524030,,tekstiil
524030,mitmevärvilised osad,tekstiil
524030,aplikatsioon,tekstiil
524030,tekstiil,tekstiil
524031,helelilla seelik,tekstiil
524031,mitmevärvilised osad,tekstiil
524031,aplikatsioon,tekstiil
524031,tekstiil,tekstiil
524032,helelilla seelik,tekstiil
524032,aplikatsioon,tekstiil
524032,tekstiil,tekstiil
524033,tekstiil,tekstiil
524033,valge põhjal sini-hallililleline seelik,tekstiil
524033,aplikatsioon,tekstiil
524034,tekstiil,tekstiil
524034,valge põhjal sini-hallililleline seelik,tekstiil
524034,aplikatsioon,tekstiil
524035,,tekstiil
524035,mitmevärvilised osad,tekstiil
524035,aplikatsioon,tekstiil
524035,tekstiil,tekstiil
524438,tekstiil,
524438,valge-punane aplikatsioon,
524438,puna-kollane põimitud nöör,
524441,kollane,
524441,sinine,
524441,punased helmed,luu
524441,pärl,luu
524445,karusnahk,nahk
524445,riidest aplikatsioon,nahk
524445,nahk,nahk
524687,kaaskiri,paber
524687,karp,plastik
524687,läbipaistev kaas,plastik
524687,metall,metall
524687,nuga,metall
524687,paber,paber
524687,plastmass,plastik
524794,puit,puit
525187,puit,puit
525920,puit,puit
526325,lõng,tekstiil
526325,sünteetika,tekstiil
526325,villane,tekstiil
526326,silmus,tekstiil
526326,must villane,tekstiil
526326,muster mitmevärvilisest kunst- ja villasest lõngast,tekstiil
526326,villane,tekstiil
526327,puit,puit
526328,puit,puit
526329,puit,puit
526330,käepide,
526330,metall,metall
526330,puit,puit
526330,tera,
526331,mõõt,
526331,nahk,nahk
526331,puit,puit
526331,püssirohu anum,nahk
526331,sarv,luu
526331,tupp,nahk
526331,vöö,nahk
526331,vask,metall
526332,jõhv,
526332,kinnitus,
526332,pael,
526332,puit,
526333,savi,keraamika
526334,savi,keraamika
526335,puit,puit
526336,pits,tekstiil
526336,puuvillane,tekstiil
526337,metall,metall
526337,pide,
526337,puit,puit
526337,saeleht,metall
526338,puit,puit
526338,vineer,puit
526581,ornament,tekstiil
526581,punane ja must,tekstiil
526581,segakiud,tekstiil
526581,kanvaa,tekstiil
526581,tekstiil,tekstiil
526675,vask,metall
526676,puit,puit
526677,vask,metall
526678,nahk,nahk
526678,põhjapõder,nahk
526679,hõbe,metall
526679,vask,metall
526680,puit,puit
526680,öönestamine,puit
526681,kalev (riidesort),tekstiil
526681,nahk,tekstiil
526681,puuvill,tekstiil
526681,sidumisnöör,tekstiil
526681,vill,tekstiil
526681,vooder,tekstiil
526682,kalev (riidesort),tekstiil
526682,kant,tekstiil
526682,lõng,tekstiil
526682,nahk,tekstiil
526682,sisetald,tekstiil
526682,vill,tekstiil
526682,vilt,tekstiil
526683,metall,nahk
526683,nahk,nahk
526683,tekstiil,nahk
526684,toht,puit
526685,puuvillane,tekstiil
526689,pikitriibuline,tekstiil
526689,puuvillane,tekstiil
526690,puit,puit
526691,puit,puit
526692,puit,puit
526692,puuoks,puit
526692,toht,puit
526693,kasetoht,puit
526693,riputamiseks on  nahast pael,
526693,kask,puit
526694,kask,puit
526694,puit,puit
